ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
953,Apteryx haastii,Great spotted kiwi|roroa|Great spotted kiwi|Roa|Roa|Great spotted kiwi,Apteryx haastii|Apteryx|Apterygidae|Apterygiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
954,Anatidae,"Swans, Geese, and Ducks|Swans, Geese and Ducks|Swans, Geese, and Ducks|Swans, Geese and Ducks|Swans, Geese, Ducks|Swans, Geese, Ducks",Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
955,Limosa limosa,Black-tailed Godwit|Black-tailed Godwit|Black-tailed Godwit,Limosa limosa|Limosa|Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
956,Puffinus puffinus newelli,Newell's Shearwater|Newell's Shearwater,Puffinus puffinus newelli|Puffinus puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
957,Hemiphaga novaeseelandiae novaeseelandiae,Kukupa|Kereru|New Zealand Pigeon,Hemiphaga novaeseelandiae novaeseelandiae|Hemiphaga novaeseelandiae|Hemiphaga|Ptilinopinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
958,Manuherikia lacustrina,,Manuherikia lacustrina|Manuherikia|Oxyurinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Extinct||New Zealand|Political Region|
959,Aegotheles novaezealandiae,New Zealand Owlet-nightjar|Owlet-nightjar,Aegotheles novaezealandiae|Aegotheles|Aegothelidae|Aegothelae|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Extinct||New Zealand|Political Region|Terrestrial
960,Apterygidae,Kiwis|Kiwis,Apterygidae|Apterygiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
961,Poliocephalus poliocephalus,Hoary-headed grebe|Hoary-headed grebe,Poliocephalus poliocephalus|Poliocephalus|Podicipedidae|Podicipediformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
962,Falcones,Falcons and Allies,Falcones|Falconiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
963,Platalea regia,Kotuku-ngutupapa|Royal Spoonbill|Kotuku-ngutupapa|Royal Spoonbill|Royal Spoonbill|Royal Spoonbill|Kotuku ngutupapa,Platalea regia|Platalea|Plataleinae|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
964,Pygoscelis adeliae,Adelie Penguin|Adelie Penguin|Adelie Penguin,Pygoscelis adeliae|Pygoscelis|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
965,Bowdleria punctata vealeae,Matata|North Island Fernbird|Matata|North Island Fernbird|u-tick|Karoti|koroatito|Matata|North Island Fernbird,Bowdleria punctata vealeae|Bowdleria punctata|Bowdleria|Sylviidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
966,Fregata minor peninsulae,Greater Frigatebird|Greater Frigatebird,Fregata minor peninsulae|Fregata minor|Fregata|Fregatidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
967,Chrysococcyx lucidus,Shining cuckoo|Shining cuckoo|Shining cuckoo,Chrysococcyx lucidus|Chrysococcyx|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
968,Puffinus elegans,Subantarctic little shearwater,Puffinus elegans|Puffinus|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
969,Anthus novaeseelandiae steindachneri,Antipodes Island Pipit|Antipodes Island Pipit|Antipodes pipit,Anthus novaeseelandiae steindachneri|Anthus novaeseelandiae|Anthus|Motacillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
970,Emberiza citrinella,Yellowhammer|Yellowhammer|Yellowhammer|Yellowhammer,Emberiza citrinella|Emberiza|Emberizinae|Emberizidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
971,Microcarbo,,Microcarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
972,Cnemiornis gracilis,North Island goose|North Island goose,Cnemiornis gracilis|Cnemiornis|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Extinct||New Zealand|Political Region|Terrestrial
973,Coturnix novaezelandiae novaezelandiae,New Zealand Quail|Koreke|Stubble Quail|Koreke|New Zealand Quail|Stubble Quail,Coturnix novaezelandiae novaezelandiae|Coturnix novaezelandiae|Coturnix|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
974,Chlidonias hybrida,Whiskered Tern|Whiskered Tern,Chlidonias hybrida|Chlidonias|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
975,Anas chlorotis South Island,South Island brown teal,Anas chlorotis South Island|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
976,Fulica atra australis,Australian Coot|Australian Coot|Australian Coot,Fulica atra australis|Fulica atra|Fulica|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
977,Eudyptes sclateri,Erect-crested Penguin|Erect-crested Penguin,Eudyptes sclateri|Eudyptes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
978,Platycercinae,Rosellas and Allies|Rosellas and Allies,Platycercinae|Psittacidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
979,Pachyornis,,Pachyornis|Anomalopteryginae|Emeidae|Dinornithiformes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
980,Fringillinae,True Finches|True Finches,Fringillinae|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
981,Phaethontifomes,,Phaethontifomes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|subclass|class|superclass|subphylum|phylum|kingdom|none,
982,Stictocarbo punctatus,Spotted Shag|Parekareka|Spotted Shag,Stictocarbo punctatus|Stictocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|North Island|Political Region|Terrestrial
983,Oriolidae,,Oriolidae|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
984,Puffinus assimilis assimilis,Norfolk Island Little Shearwater|Norfolk Island Little Shearwater|Norfolk Island Little Shearwater,Puffinus assimilis assimilis|Puffinus assimilis|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
985,Alcedinidae,Kingfishers|Kingfishers|Kingfishers,Alcedinidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
986,Pterodroma lessonii,White-headed Petrel|White-headed Petrel|White-headed Petrel,Pterodroma lessonii|Pterodroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
987,Thalassarche carteri,Indian Ocean Yellow-nosed Albatross|Indian Ocean yellow-nosed mollymawk,Thalassarche carteri|Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
988,Turnagra capensis capensis,South Island piopio|Piopio,Turnagra capensis capensis|Turnagra capensis|Turnagra|Turnagrinae|Paradisaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct||New Zealand|Political Region|
989,Phaethontidae,Tropic birds|Tropicbirds,Phaethontidae|Phaethontes|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
990,Monarcha,,Monarcha|Monarchinae|Monarchidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
991,Morus capensis,Cape Gannet|Cape Gannet|Cape Gannet,Morus capensis|Morus|Sulidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
992,Anhinga melanogaster,Darter|Darter,Anhinga melanogaster|Anhinga|Anhingidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
993,Haematopus ostralegus finschi,Torea|South Island Pied Oystercatcher|South Island Pied Oystercatcher|Torea,Haematopus ostralegus finschi|Haematopus ostralegus|Haematopus|Haematopodidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
994,Calidrinae,"Sandpipers, Stints|Sandpipers, Stints",Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
995,Anser anser domesticus,,Anser anser domesticus|Anser anser|Anser|Anserini|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
996,Euryanas,,Euryanas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
997,Phalacrocorax,,Phalacrocorax|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
998,Cuculi,Cuckoos and Allies|Cuckoos and Allies,Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
999,Pterodroma macroptera gouldi,Titi|Grey-faced Petrel|Grey-faced Petrel|Oi|Grey-faced Petrel|Oi,Pterodroma macroptera gouldi|Pterodroma macroptera|Pterodroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1000,Pseudodontornis stirtoni,,Pseudodontornis stirtoni|Pseudodontornis|Pelagornithidae|Pelecanoidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
1001,Scolopacidae,"Curlews, Snipes, etc.|Snipe, Sandpipers, Godwits, Curlews",Scolopacidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1002,Eudyptes chrysocome,Western Rockhopper Penguin|Western Rockhopper Penguin|southern rockhopper Penguin,Eudyptes chrysocome|Eudyptes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
1003,Palaeognathae,,Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subclass|class|superclass|subphylum|phylum|kingdom|none,
1004,Mohouinae,Whitehead and Allies|Whitehead and Allies,Mohouinae|Pachycephalidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1005,Phalacrocorax sulcirostris,Little Black Shag|Little Black Shag|Little Black Cormorant,Phalacrocorax sulcirostris|Phalacrocorax|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1006,Daption,,Daption|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1007,Carduelis carduelis britannica,,Carduelis carduelis britannica|Carduelis carduelis|Carduelis|Carduelinae|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
1008,Anthornis melanura oneho,Korimako|Makomako|Poor Knights Bellbird|Poor Knights Bellbird|Poor Knights Bellbird,Anthornis melanura oneho|Anthornis melanura|Anthornis|Meliphagidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1009,Sphenisciformes,Penguins,Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1010,Fulmarus,,Fulmarus|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1011,Pterodroma cervicalis,White-naped Petrel|White-naped Petrel,Pterodroma cervicalis|Oestrelatella|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
1012,Petroica australis rakiura,Stewart Island Robin|Stewart Island Robin,Petroica australis rakiura|Petroica australis|Miro|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1013,Lugensa,,Lugensa|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1014,Calidris alba,Sanderling|Sanderling|Sanderling|Sanderling,Calidris alba|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1015,Anas,,Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1016,Euryapteryx geranoides,,Euryapteryx geranoides|Euryapteryx|Emeinae|Emeidae|Dinornithiformes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,
1017,Charadrius hiaticula,Ringed Plover|Ringed Plover|Ringed Plover,Charadrius hiaticula|Charadrius|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
1018,Phalacrocorax varius,Karuhiruhi|Pied Shag|Pied Cormorant|Pied Cormorant,Phalacrocorax varius|Phalacrocorax|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|North Island|Political Region|Terrestrial
1019,Thalassarche,,Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1020,Ardea novaehollandiae novaehollandiae,White-faced Heron|White-faced Heron,Ardea novaehollandiae novaehollandiae|Ardea novaehollandiae|Ardea|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1021,Palaeeudyptes antarcticus,,Palaeeudyptes antarcticus|Palaeeudyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
1022,Rhipidura fuliginosa penita,Chatham Island Fantail|Chatham Island Fantail|Chatham Island Fantail|Piwakawaka,Rhipidura fuliginosa penita|Rhipidura fuliginosa|Rhipidura|Rhipidurinae|Monarchidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1023,Apteryx mantelli,Northern brown kiwi,Apteryx mantelli|Apteryx|Apterygidae|Apterygiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1024,Streptopelia chinensis tigrina,Malay Spotted Dove,Streptopelia chinensis tigrina|Streptopelia chinensis|Streptopelia|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
1025,Anous tenuirostris minutus,White-capped Noddy|Black noddy|White-capped Noddy|White-capped Noddy,Anous tenuirostris minutus|Anous tenuirostris|Anous|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1026,Thalassarche melanophris impavida,,Thalassarche melanophris impavida|Thalassarche melanophris|Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1027,Cracticidae,Bell magpies|Bell magpies,Cracticidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1028,Megadyptes waitaha,Waitaha Penguin|Waitaha Penguin,Megadyptes waitaha|Megadyptes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Extinct||New Zealand|Political Region|
1029,Gallirallus australis scotti,Stewart Island Weka|Stewart Island Weka|Stewart Island Weka|woodhen,Gallirallus australis scotti|Gallirallus australis|Gallirallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
1030,Sternula albifrons sinensis,Little tern,Sternula albifrons sinensis|Sternula albifrons|Sternula|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1031,Thalassarche bulleri bulleri,,Thalassarche bulleri bulleri|Thalassarche bulleri|Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1032,Chloris chloris,,Chloris chloris|Chloris|Carduelinae|Fringillidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1033,Pelecanoides georgicus Codfish Island,Whenua Hou diving Petrel,Pelecanoides georgicus Codfish Island|Procellariidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|order|class|superclass|subphylum|phylum|kingdom|none,
1034,Pachyptila crassirostris crassirostris,Fulmar prion|Fulmar prion,Pachyptila crassirostris crassirostris|Pachyptila crassirostris|Pachyptila|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
1035,Falco,,Falco|Falconidae|Falcones|Falconiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
1036,Streptopelia risoria,Barbary dove|African collared dove|Barbary dove,Streptopelia risoria|Streptopelia|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
