ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
43,Manuherikia,,Manuherikia|Oxyurinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
44,Pelecanus conspicillatus conspicillatus,Australian Pelican|Australian Pelican,Pelecanus conspicillatus conspicillatus|Pelecanus conspicillatus|Pelecanus|Pelecanidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
45,Platela flavipes,Yellow-billed Spoonbill,Platela flavipes|Platela|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
46,Thalassarche steadi,Whi|Shy Mollymawk|Toroa|Shy Albatross|White-capped Albatross|New Zealand White-capped Albatross,Thalassarche steadi|Diomedeidae|Procellariiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|order|class|superclass|subphylum|phylum|kingdom|none,
47,Stictocarbo,,Stictocarbo|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
48,Bubulcus ibis coromandus,Cattle Egret|Cattle Egret,Bubulcus ibis coromandus|Bubulcus ibis|Bubulcus|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
49,Acridotheres,,Acridotheres|Sturninae|Sturnidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
50,Chlidonias,,Chlidonias|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
51,Elseyornis,,Elseyornis|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
52,Circus approximans,Swamp Harrier|Kahu|Australasian Harrier|Australasian Harrier|Kahu|Swamp Harrier|Australasian Harrier|Swamp Harrier|Kahu|Australasian Harrier,Circus approximans|Circus|Accipitrinae|Accipitridae|Accipititrifomes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
